*** Number of masses and masses ***
N = 7
POINT          MAS
  1         1.0000E-10
  2         1.0000E-01
  3         1.0000E-01
  4         1.0000E-01
  5         1.0000E-01
  6         1.0000E-01
  7         1.0000E-01

*** SX and SY ***
(SX,SY) = diagonal elements of the S matrix
SX =    1.0000E+00
SY =    3.0000E-01

*** Number of solutions computed by the analytic-continuation method ***
Number of solutions of the N-body problem NSOL(N) =  22
Number of solutions NSOL(K) of the restricted (N+1)-body problem for the Kth solution of the N-body problem
 K     NSOL(K)-all      NSOL(K)-distinct
  1         21               14
  2         23               15
  3         21               14
  4         17               11
  5         17                7
  6         15               11
  7         21                8
  8         23               12
  9         15               10
 10         13               13
 11         13                9
 12         17               11
 13         15               10
 14         13                6
 15         13                9
 16         21                8
 17         11                4
 18         17                7
 19         11                8
 20         13                8
 21         27               10
 22          9                5
Number of solutions of the (N+1)-body problem =  366
Number of solutions of the (N+1)-body problem excluding symmetries =  210

*** X- and Y-coordinates of all configurations computed by the analytic-continuation method ***
K = solution counter of the N-body problem
L = solution counter of the restricted (N+1)-body problem 
FCT = residual of the the relative equilibrium equations at the solution
RMS = RMS error in Cartesian coordinates with respect to the initial guess
(X,Y) = X and Y coordinates of each point mass

    K    L        FCT           RMS                    X                        Y
    1    1     5.9076E-22     6.4567E-10     -1.4570752073243325E+00      1.0596795525617912E+00      1.9001250933413769E-17      2.9554688145363789E-01      1.0783293832648849E-16      1.7700666912300540E+00      2.0891627708764757E-16      3.3847375191092688E+00     -9.7784834317056868E-01     -1.1870073308643245E+00     -5.6432195505766949E-16     -3.0763364321818574E+00      9.7784834385089081E-01     -1.1870073298440218E+00
    1    2     5.9087E-22     4.9195E-10      1.4570752073224442E+00      1.0596795525602849E+00      1.7191607987374364E-17      2.9554688145363794E-01      1.0892687831279818E-16      1.7700666912300540E+00      2.0558383082035759E-16      3.3847375191092688E+00     -9.7784834385371444E-01     -1.1870073298433412E+00     -5.6586846342639194E-16     -3.0763364321818574E+00      9.7784834316774494E-01     -1.1870073308650051E+00
    1    3     3.8871E-23     9.7232E-10      2.0497297602896878E+00     -1.3708336650183472E+00      1.7191607987374364E-17      2.9554688216643515E-01      1.0595435550634408E-16      1.7700666915553007E+00      2.0906996053779975E-16      3.3847375192294753E+00     -9.7784834398766407E-01     -1.1870073296436110E+00     -5.6478750473605415E-16     -3.0763364320163937E+00      9.7784834204822968E-01     -1.1870073299579367E+00
    1    4     1.2854E-21     1.3973E-09      1.0788792355368828E+00     -3.7120974467980670E+00      1.7191607987374364E-17      2.9554688211350488E-01      1.0527620081589900E-16      1.7700666915661485E+00      2.0895766327063003E-16      3.3847375192716194E+00     -9.7784834369079643E-01     -1.1870073295665529E+00     -5.6535927705132374E-16     -3.0763364307160028E+00      9.7784834363419315E-01     -1.1870073289941832E+00
    1    5     1.1246E-21     9.4890E-10      1.3079137141635209E+00     -2.7159776442103301E+00      1.7191607987374364E-17      2.9554688214820291E-01      1.0644008616939344E-16      1.7700666915894667E+00      2.0740387814040349E-16      3.3847375192937492E+00     -9.7784834369148643E-01     -1.1870073296963044E+00     -5.7328297727994841E-16     -3.0763364316853745E+00      9.7784834334359205E-01     -1.1870073289713270E+00
    1    6     7.5992E-22     1.5401E-09     -7.5324412110307593E-01      4.3778333058983590E+00      1.9001250933413769E-17      2.9554688090546466E-01      1.1380083314899534E-16      1.7700666902158764E+00      2.0944399011247636E-16      3.3847375175419550E+00     -9.7784834357472772E-01     -1.1870073304986888E+00     -5.6581099611194070E-16     -3.0763364321570030E+00      9.7784834364826734E-01     -1.1870073304230024E+00
    1    7     7.5969E-22     1.6038E-09      7.5324412110090189E-01      4.3778333058985206E+00      1.7191607987374364E-17      2.9554688090546466E-01      1.0296265856337673E-16      1.7700666902158764E+00      2.0505140332296789E-16      3.3847375175419550E+00     -9.7784834365109097E-01     -1.1870073304223219E+00     -5.6437950446427845E-16     -3.0763364321570035E+00      9.7784834357190409E-01     -1.1870073304993694E+00
    1    8     9.3322E-22     7.7109E-10     -4.2261516600734050E-01     -2.1094676307098750E+00      1.7730508521854876E-17      2.9554688213688152E-01      1.1380083314899534E-16      1.7700666915790662E+00      2.0692762177645409E-16      3.3847375192685960E+00     -9.7784834390528352E-01     -1.1870073286429434E+00     -5.6434228748812616E-16     -3.0763364326850953E+00      9.7784834361162865E-01     -1.1870073295846018E+00
    1    9     1.7468E-28     9.0248E-10     -2.8579873383769646E-12     -1.0244995278767135E+00      1.9001250933413769E-17      2.9554688191451817E-01      1.0457357806847305E-16      1.7700666913838974E+00      2.0873964478371192E-16      3.3847375190926665E+00     -9.7784834442239466E-01     -1.1870073298614729E+00     -5.6598610620381748E-16     -3.0763364316805206E+00      9.7784834441957080E-01     -1.1870073298621535E+00
    1   10     4.8462E-22     7.4592E-10      4.1193317494109627E-01     -4.8938236466927471E-01      1.7191607987374364E-17      2.9554688259586059E-01      1.0509869543008767E-16      1.7700666917909762E+00      2.0911630299072550E-16      3.3847375193853120E+00     -9.7784834359016726E-01     -1.1870073295563650E+00     -5.6509691097654099E-16     -3.0763364321481368E+00      9.7784834373370377E-01     -1.1870073316158294E+00
