*** Number of masses and masses ***
N = 7
POINT          MAS
  1         1.0000E-11
  2         1.0000E-01
  3         1.0000E-01
  4         1.0000E-01
  5         1.0000E-01
  6         1.0000E-01
  7         1.0000E-01

*** SX and SY ***
(SX,SY) = diagonal elements of the S matrix
SX =    1.0000E+00
SY =    1.0000E+00

*** Number of solutions computed by the analytic-continuation method ***
Number of solutions of the N-body problem NSOL(N) =   9
Number of solutions NSOL(K) of the restricted (N+1)-body problem for the Kth solution of the N-body problem
 K     NSOL(K)-all      NSOL(K)-distinct
  1         15                3
  2         19                5
  3         13                6
  4         13                5
  5         19                4
  6         17               10
  7         15               10
  8         11                7
  9          9                5
Number of solutions of the (N+1)-body problem =  131
Number of solutions of the (N+1)-body problem excluding symmetries =   55

*** X- and Y-coordinates of all configurations computed by the analytic-continuation method ***
K = solution counter of the N-body problem
L = solution counter of the restricted (N+1)-body problem 
FCT = residual of the the relative equilibrium equations at the solution
RMS = RMS error in Cartesian coordinates with respect to the initial guess
(X,Y) = X and Y coordinates of each point mass

    K    L        FCT           RMS                    X                        Y
    1    1     3.3220E-23     5.9860E-11     -5.7604059158651066E-01      4.1851798762430903E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623414080E+00      0.0000000000000000E+00      4.3701602446004628E-01      1.3449970238992301E+00     -1.1441228057277744E+00      8.3125387558031960E-01     -1.1441228055699919E+00     -8.3125387560865449E-01      4.3701602449091631E-01     -1.3449970238825526E+00
    1    2     7.7817E-24     7.0933E-11     -1.8593965136209885E+00      1.3509306435132262E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623472338E+00      0.0000000000000000E+00      4.3701602446721977E-01      1.3449970239060842E+00     -1.1441228055641834E+00      8.3125387546869733E-01     -1.1441228055811734E+00     -8.3125387560812591E-01      4.3701602448158505E-01     -1.3449970238917102E+00
    1    3     7.3506E-24     8.3197E-11      7.1022626955056767E-01     -2.1858516977354965E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623582643E+00      0.0000000000000000E+00      4.3701602446381116E-01      1.3449970238955935E+00     -1.1441228055770132E+00      8.3125387559319375E-01     -1.1441228056822332E+00     -8.3125387546902896E-01      4.3701602436714659E-01     -1.3449970238410367E+00
    1    4     9.4381E-26     9.8090E-11      1.5705121978195606E+00     -1.1410439025942012E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623311494E+00      0.0000000000000000E+00      4.3701602447378551E-01      1.3449970239013995E+00     -1.1441228055813744E+00      8.3125387559908104E-01     -1.1441228056868127E+00     -8.3125387545859775E-01      4.3701602429519470E-01     -1.3449970239353597E+00
    1    5     9.0362E-24     6.8534E-11      2.2983404879254863E+00      3.3913890889342925E-13      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135622636771E+00      0.0000000000000000E+00      4.3701602439253867E-01      1.3449970239303990E+00     -1.1441228056316177E+00      8.3125387551805008E-01     -1.1441228056271828E+00     -8.3125387552602026E-01      4.3701602439615639E-01     -1.3449970239310163E+00
    1    6     3.6344E-23     7.0480E-11      2.2002792705531971E-01      6.7717632890721891E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623495291E+00      0.0000000000000000E+00      4.3701602442317106E-01      1.3449970240290867E+00     -1.1441228056812793E+00      8.3125387545358864E-01     -1.1441228055634216E+00     -8.3125387560388120E-01      4.3701602446159293E-01     -1.3449970238920803E+00
    1    7     3.2945E-27     1.0006E-10      1.5705121978160039E+00      1.1410439025933279E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623311494E+00      0.0000000000000000E+00      4.3701602429113851E-01      1.3449970239347862E+00     -1.1441228056915766E+00      8.3125387545014917E-01     -1.1441228055766106E+00     -8.3125387560752961E-01      4.3701602447784171E-01     -1.3449970239019733E+00
    1    8     3.2333E-23     6.7770E-11      2.2002792705829322E-01     -6.7717632890996904E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623495291E+00      0.0000000000000000E+00      4.3701602445753673E-01      1.3449970238915065E+00     -1.1441228055681856E+00      8.3125387559543262E-01     -1.1441228056765156E+00     -8.3125387546203711E-01      4.3701602442722720E-01     -1.3449970240296605E+00
    1    9     6.1777E-26     8.1370E-11     -5.9988227990037424E-01      1.8462478168989798E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135623558381E+00      0.0000000000000000E+00      4.3701602446615639E-01      1.3449970238779192E+00     -1.1441228056716031E+00      8.3125387543563756E-01     -1.1441228055771890E+00     -8.3125387560948172E-01      4.3701602447852100E-01     -1.3449970239000539E+00
    1   10     4.5784E-23     6.1306E-11      7.1202532898570903E-01     -1.8925607936148621E-11      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135624616350E+00      0.0000000000000000E+00      4.3701602435968878E-01      1.3449970239326099E+00     -1.1441228056496888E+00      8.3125387547847773E-01     -1.1441228056065649E+00     -8.3125387554927466E-01      4.3701602442142434E-01     -1.3449970239128992E+00
