*** Number of masses and masses ***
N = 7
POINT          MAS
  1         1.0000E-09
  2         1.0000E-01
  3         1.0000E-01
  4         1.0000E-01
  5         1.0000E-01
  6         1.0000E-01
  7         1.0000E-01

*** SX and SY ***
(SX,SY) = diagonal elements of the S matrix
SX =    1.0000E+00
SY =    1.0000E+00

*** Number of solutions computed by the analytic-continuation method ***
Number of solutions of the N-body problem NSOL(N) =   9
Number of solutions NSOL(K) of the restricted (N+1)-body problem for the Kth solution of the N-body problem
 K     NSOL(K)-all      NSOL(K)-distinct
  1         15                3
  2         19                5
  3         13                6
  4         13                5
  5         19                4
  6         17               10
  7         15               10
  8         11                7
  9          9                5
Number of solutions of the (N+1)-body problem =  131
Number of solutions of the (N+1)-body problem excluding symmetries =   55

*** X- and Y-coordinates of all configurations computed by the analytic-continuation method ***
K = solution counter of the N-body problem
L = solution counter of the restricted (N+1)-body problem 
FCT = residual of the the relative equilibrium equations at the solution
RMS = RMS error in Cartesian coordinates with respect to the initial guess
(X,Y) = X and Y coordinates of each point mass

    K    L        FCT           RMS                    X                        Y
    1    1     7.9280E-20     6.9967E-09     -1.8593965071100491E+00     -1.3509306345237271E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135598670016E+00      0.0000000000000000E+00      4.3701602776359549E-01      1.3449970202155579E+00     -1.1441228002930133E+00      8.3125388052300109E-01     -1.1441227981128743E+00     -8.3125386743343976E-01      4.3701602673673812E-01     -1.3449970217109162E+00
    1    2     3.3616E-19     5.8128E-09     -5.7604059598625568E-01      4.1851798913445576E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135592844178E+00      0.0000000000000000E+00      4.3701602601532924E-01      1.3449970210249356E+00     -1.1441228144767475E+00      8.3125387858720978E-01     -1.1441227991700980E+00     -8.3125388058430760E-01      4.3701602870077444E-01     -1.3449970193003771E+00
    1    3     7.9401E-20     7.0452E-09     -1.8593965071180230E+00      1.3509306345086953E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135598670014E+00      0.0000000000000000E+00      4.3701602673268192E-01      1.3449970217103424E+00     -1.1441227981176381E+00      8.3125386742499074E-01     -1.1441228002882495E+00     -8.3125388053145000E-01      4.3701602776765147E-01     -1.3449970202161319E+00
    1    4     4.4902E-22     7.5700E-09     -5.9988228134608423E-01      1.8462478048359352E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135607274111E+00      0.0000000000000000E+00      4.3701602662634553E-01      1.3449970188938567E+00     -1.1441228088596067E+00      8.3125386411902313E-01     -1.1441227998898316E+00     -8.3125388066701222E-01      4.3701602746123897E-01     -1.3449970210505242E+00
    1    5     3.3591E-19     5.8110E-09     -5.7604059598536383E-01     -4.1851798913939992E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135592844178E+00      0.0000000000000000E+00      4.3701602869671841E-01      1.3449970192998033E+00     -1.1441227991748617E+00      8.3125388057585914E-01     -1.1441228144719837E+00     -8.3125387859565880E-01      4.3701602601938544E-01     -1.3449970210255096E+00
    1    6     4.4317E-22     9.8547E-09      1.5705121829963340E+00      1.1410439042324927E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135582585595E+00      0.0000000000000000E+00      4.3701600912456273E-01      1.3449970245805307E+00     -1.1441228108569497E+00      8.3125386557017766E-01     -1.1441227998319701E+00     -8.3125388047182025E-01      4.3701602739331891E-01     -1.3449970212424480E+00
    1    7     7.9599E-20     6.6915E-09      2.2983404773717457E+00     -1.7586268834758807E-10      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135515113232E+00      0.0000000000000000E+00      4.3701601920689537E-01      1.3449970241475373E+00     -1.1441228049043604E+00      8.3125387229732561E-01     -1.1441228048459229E+00     -8.3125387238379378E-01      4.3701601928245531E-01     -1.3449970241410409E+00
    1    8     4.6176E-22     6.5871E-09     -1.9412598250499289E+00     -2.5901610723035420E-12      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135605658692E+00      0.0000000000000000E+00      4.3701602750879909E-01      1.3449970212035673E+00     -1.1441227979682091E+00      8.3125387910977977E-01     -1.1441227979671897E+00     -8.3125387911300674E-01      4.3701602750946100E-01     -1.3449970212041782E+00
    1    9     4.5228E-22     9.8501E-09      1.5705121829998905E+00     -1.1410439042333660E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135582585595E+00      0.0000000000000000E+00      4.3701602738926271E-01      1.3449970212418740E+00     -1.1441227998367340E+00      8.3125388046337156E-01     -1.1441228108521857E+00     -8.3125386557862635E-01      4.3701600912861893E-01     -1.3449970245811045E+00
    1   10     3.3607E-19     6.9184E-09      2.2002792600135126E-01     -6.7717633392935894E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135600965218E+00      0.0000000000000000E+00      4.3701602576437548E-01      1.3449970202525794E+00     -1.1441227985178561E+00      8.3125388009851653E-01     -1.1441228098224709E+00     -8.3125386592257433E-01      4.3701602233186826E-01     -1.3449970340111654E+00
    1   11     4.6375E-22     7.5651E-09     -5.9988228133867272E-01     -1.8462478048441122E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135607274111E+00      0.0000000000000000E+00      4.3701602745718277E-01      1.3449970210499504E+00     -1.1441227998945955E+00      8.3125388065856376E-01     -1.1441228088548430E+00     -8.3125386412747171E-01      4.3701602663040173E-01     -1.3449970188944307E+00
    1   12     7.9553E-20     8.4493E-09      7.1022625861089606E-01      2.1858516901890965E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135609700563E+00      0.0000000000000000E+00      4.3701601631973785E-01      1.3449970151482129E+00     -1.1441228103990100E+00      8.3125386661329015E-01     -1.1441227993958596E+00     -8.3125387988309085E-01      4.3701602639587556E-01     -1.3449970206618491E+00
    1   13     7.9358E-20     8.4477E-09      7.1022625861734490E-01     -2.1858516901910572E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135609700563E+00      0.0000000000000000E+00      4.3701602639181936E-01      1.3449970206612751E+00     -1.1441227994006233E+00      8.3125387987464205E-01     -1.1441228103942460E+00     -8.3125386662173917E-01      4.3701601632379422E-01     -1.3449970151487862E+00
    1   14     3.3642E-19     5.3044E-09      7.1202533343281948E-01      8.5038819993745754E-14      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135713071089E+00      0.0000000000000000E+00      4.3701601886337377E-01      1.3449970233487518E+00     -1.1441228047503036E+00      8.3125387152025909E-01     -1.1441228047453049E+00     -8.3125387152908936E-01      4.3701601886778296E-01     -1.3449970233492015E+00
    1   15     3.3647E-19     6.9211E-09      2.2002792599837798E-01      6.7717633392660859E-01      0.0000000000000000E+00      0.0000000000000000E+00      1.4142135600965218E+00      0.0000000000000000E+00      4.3701602232781195E-01      1.3449970340105915E+00     -1.1441228098272347E+00      8.3125386591412553E-01     -1.1441227985130920E+00     -8.3125388010696510E-01      4.3701602576843152E-01     -1.3449970202531529E+00
    2    1     4.1682E-27     3.7285E-08     -2.1738410315122021E-12     -3.0004703631376604E-12      1.3380347419592244E+00      0.0000000000000000E+00      6.2108702341540944E-01      1.0757542804831974E+00     -6.6901737098514813E-01      1.1587720776822339E+00     -1.2421740468389575E+00     -4.0471352099827990E-12     -6.6901737098122260E-01     -1.1587720776878967E+00      6.2108702341844579E-01     -1.0757542804851123E+00
    2    2     6.1796E-20     3.1263E-08      1.7221936917897358E+00     -1.1202741701207422E+00      1.3380347945031927E+00      0.0000000000000000E+00      6.2108699403002821E-01      1.0757542295345961E+00     -6.6901739710716146E-01      1.1587721232701158E+00     -1.2421739814632085E+00     -3.6939140292164286E-12     -6.6901740693129896E-01     -1.1587721312695012E+00      6.2108697973416804E-01     -1.0757542187109839E+00
    2    3     1.5224E-27     1.1004E-07      2.2499859908919237E+00     -7.9304852259141737E-13      1.3380346528150506E+00      0.0000000000000000E+00      6.2108705721172985E-01      1.0757543488285273E+00     -6.6901734054493867E-01      1.1587720211004595E+00     -1.2421741086667464E+00     -3.9881541429625450E-12     -6.6901734054141426E-01     -1.1587720211064088E+00      6.2108705721411561E-01     -1.0757543488296115E+00
    2    4     2.7245E-19     1.1799E-08     -1.9727828192645000E-02     -1.1397098707411595E+00      1.3380347858276609E+00      0.0000000000000000E+00      6.2108699803378919E-01      1.0757542353619896E+00     -6.6901739270746308E-01      1.1587721157822539E+00     -1.2421739878891045E+00     -3.6939140292164286E-12     -6.6901740608548976E-01     -1.1587721228956591E+00      6.2108700300554343E-01     -1.0757542344344899E+00
